,COUNT,WAIT_DAYS,RET,exit,BULL,OUT_DAY
2019-03-31 20:00:00-04:00,0,0,0,False,1,0
2019-04-01 16:00:00-04:00,1,21,58,False,1,0
2019-04-02 16:00:00-04:00,2,21,58,False,1,0
2019-04-03 16:00:00-04:00,3,21,58,False,1,0
2019-04-04 16:00:00-04:00,4,21,58,False,1,0
2019-04-05 16:00:00-04:00,5,21,58,False,1,0
2019-04-08 16:00:00-04:00,6,21,58,False,1,0
2019-04-09 16:00:00-04:00,7,21,58,False,1,0
2019-04-10 16:00:00-04:00,8,21,58,False,1,0
2019-04-11 16:00:00-04:00,9,21,58,False,1,0
2019-04-12 16:00:00-04:00,10,20,59,False,1,0
2019-04-15 16:00:00-04:00,11,20,59,False,1,0
2019-04-16 16:00:00-04:00,12,20,59,True,0,11
2019-04-17 16:00:00-04:00,13,20,59,False,0,11
2019-04-18 16:00:00-04:00,14,19,60,False,0,11
2019-04-22 16:00:00-04:00,15,19,60,False,0,11
2019-04-23 16:00:00-04:00,16,19,60,False,0,11
2019-04-24 16:00:00-04:00,17,19,60,False,0,11
2019-04-25 16:00:00-04:00,18,19,60,False,0,11
2019-04-26 16:00:00-04:00,19,19,60,False,0,11
2019-04-29 16:00:00-04:00,20,19,60,True,0,19
2019-04-30 16:00:00-04:00,21,18,61,False,0,19
2019-05-01 16:00:00-04:00,22,18,61,False,0,19
2019-05-02 16:00:00-04:00,23,18,61,False,0,19
2019-05-03 16:00:00-04:00,24,18,61,False,0,19
2019-05-06 16:00:00-04:00,25,18,61,False,0,19
2019-05-07 16:00:00-04:00,26,18,61,True,0,25
2019-05-08 16:00:00-04:00,27,18,61,True,0,26
2019-05-09 16:00:00-04:00,28,18,61,False,0,26
2019-05-10 16:00:00-04:00,29,18,61,False,0,26
2019-05-13 16:00:00-04:00,30,18,61,True,0,29
2019-05-14 16:00:00-04:00,31,18,61,True,0,30
2019-05-15 16:00:00-04:00,32,18,61,True,0,31
2019-05-16 16:00:00-04:00,33,17,62,True,0,32
2019-05-17 16:00:00-04:00,34,18,61,True,0,33
2019-05-20 16:00:00-04:00,35,18,61,True,0,34
2019-05-21 16:00:00-04:00,36,18,61,True,0,35
2019-05-22 16:00:00-04:00,37,18,61,True,0,36
2019-05-23 16:00:00-04:00,38,17,62,True,0,37
2019-05-24 16:00:00-04:00,39,17,62,True,0,38
2019-05-28 16:00:00-04:00,40,17,62,True,0,39
2019-05-29 16:00:00-04:00,41,17,62,True,0,40
2019-05-30 16:00:00-04:00,42,17,62,True,0,41
2019-05-31 16:00:00-04:00,43,17,62,True,0,42
2019-06-03 16:00:00-04:00,44,17,62,True,0,43
2019-06-04 16:00:00-04:00,45,17,62,True,0,44
2019-06-05 16:00:00-04:00,46,17,62,True,0,45
2019-06-06 16:00:00-04:00,47,17,62,True,0,46
2019-06-07 16:00:00-04:00,48,17,62,True,0,47
2019-06-10 16:00:00-04:00,49,17,62,True,0,48
2019-06-11 16:00:00-04:00,50,16,63,True,0,49
2019-06-12 16:00:00-04:00,51,16,63,True,0,50
2019-06-13 16:00:00-04:00,52,16,63,True,0,51
2019-06-14 16:00:00-04:00,53,16,63,True,0,52
2019-06-17 16:00:00-04:00,54,16,63,True,0,53
2019-06-18 16:00:00-04:00,55,16,63,True,0,54
2019-06-19 16:00:00-04:00,56,16,63,True,0,55
2019-06-20 16:00:00-04:00,57,16,63,True,0,56
2019-06-21 16:00:00-04:00,58,16,63,True,0,57
2019-06-24 16:00:00-04:00,59,15,64,True,0,58
2019-06-25 16:00:00-04:00,60,15,64,False,0,58
2019-06-26 16:00:00-04:00,61,15,64,False,0,58
2019-06-27 16:00:00-04:00,62,13,66,False,0,58
2019-06-28 16:00:00-04:00,63,13,66,False,0,58
2019-07-01 16:00:00-04:00,64,13,66,False,0,58
2019-07-02 16:00:00-04:00,65,13,66,False,0,58
2019-07-05 16:00:00-04:00,66,13,66,True,0,65
2019-07-08 16:00:00-04:00,67,12,67,True,0,66
2019-07-09 16:00:00-04:00,68,12,67,True,0,67
2019-07-10 16:00:00-04:00,69,12,67,True,0,68
2019-07-11 16:00:00-04:00,70,12,67,True,0,69
2019-07-12 16:00:00-04:00,71,12,67,True,0,70
2019-07-15 16:00:00-04:00,72,12,67,True,0,71
2019-07-16 16:00:00-04:00,73,12,67,True,0,72
2019-07-17 16:00:00-04:00,74,12,67,True,0,73
2019-07-18 16:00:00-04:00,75,12,67,True,0,74
2019-07-19 16:00:00-04:00,76,12,67,True,0,75
2019-07-22 16:00:00-04:00,77,12,67,True,0,76
2019-07-23 16:00:00-04:00,78,11,68,True,0,77
2019-07-24 16:00:00-04:00,79,11,68,True,0,78
2019-07-25 16:00:00-04:00,80,11,68,True,0,79
2019-07-26 16:00:00-04:00,81,11,68,True,0,80
2019-07-29 16:00:00-04:00,82,11,68,True,0,81
2019-07-30 16:00:00-04:00,83,11,68,True,0,82
2019-07-31 16:00:00-04:00,84,11,68,True,0,83
2019-08-01 16:00:00-04:00,85,11,68,True,0,84
2019-08-02 16:00:00-04:00,86,11,68,True,0,85
2019-08-05 16:00:00-04:00,87,12,67,True,0,86
2019-08-06 16:00:00-04:00,88,12,67,True,0,87
2019-08-07 16:00:00-04:00,89,12,67,True,0,88
2019-08-08 16:00:00-04:00,90,12,67,True,0,89
