Date,Open,2. high,3. low,Close,Adj_Close,6. volume,7. dividend amount,8. split coefficient,Adj_Open
2019-04-12,48.78,48.85,48.35,48.46,47.4986224037,329888.0,0.0,1.0,47.81227405803727
2019-04-15,48.5,48.56,47.46,47.95,46.9987400796,443808.0,0.0,1.0,47.53782886049217
2019-04-16,48.24,48.539,48.1001,48.28,47.3221933481,352773.0,0.0,1.0,47.28298689130787
2019-04-17,48.67,48.71,46.86,47.05,46.1165948018,433811.0,0.0,1.0,47.70445630188323
2019-04-18,47.11,47.31,46.413,47.09,46.1558012586,330809.0,0.0,1.0,46.17540448699609
2019-04-22,46.97,47.32,46.844,47.25,46.3126270857,246726.0,0.0,1.0,46.03818188815511
2019-04-23,47.45,48.59,47.412,48.43,47.4692175611,337501.0,0.0,1.0,46.50865936969224
2019-04-24,48.5,48.5,47.98,48.01,47.0575497648,338958.0,0.0,1.0,47.537828860504064
2019-04-25,47.82,48.0,47.22,47.58,46.6360803543,422287.0,0.0,1.0,46.87131909505309
2019-04-26,47.59,47.69,47.08,47.69,46.7438981105,227514.0,0.0,1.0,46.645881968519504
2019-04-29,47.72,48.24,47.7,47.79,46.8419142524,221466.0,0.0,1.0,46.77330295301377
2019-04-30,47.8,48.01,46.96,47.22,46.2832222431,380749.0,0.0,1.0,46.85171586658577
2019-05-01,47.5,47.711,46.78,46.78,45.8519512184,504202.0,0.0,1.0,46.557667440658406
2019-05-02,46.92,47.1,46.14,47.01,46.077388345,417395.0,0.0,1.0,45.98917381721762
2019-05-03,47.44,48.39,47.224,48.39,47.4300111043,311603.0,0.0,1.0,46.498857755486505
2019-05-06,47.06,48.855,46.874,48.82,47.8514805148,388548.0,0.0,1.0,46.1263964159461
2019-05-07,48.28,48.49,46.9,47.3,46.3616351567,458139.0,0.0,1.0,47.32219334810732
2019-05-08,46.57,46.935,46.06,46.43,45.5088947215,330401.0,0.0,1.0,45.646117320272566
2019-05-09,45.81,46.24,44.91,46.03,45.1168301536,413397.0,0.0,1.0,44.901194641243016
2019-05-10,45.79,46.439,45.06,46.24,45.3226640517,275951.0,0.0,1.0,44.88159141278856
2019-05-13,44.83,45.1,43.63,43.69,42.8232524312,694508.0,0.0,1.0,43.9406364497756
2019-05-14,44.05,44.865,43.914,44.53,43.6465880239,288453.0,0.0,1.0,43.17611054239378
2019-05-15,44.18,45.075,44.0,45.07,44.1758751906,312077.0,0.0,1.0,43.30353152697378
2019-05-16,45.15,45.509,45.1,45.28,44.3817090887,432622.0,0.0,1.0,44.25428810412555
2019-05-17,44.48,44.776,43.87,43.96,43.0878960146,294854.0,0.0,1.0,43.597579952898265
2019-05-20,43.18,43.523,42.857,42.93,42.0783297522,486070.0,0.0,1.0,42.32337010715108
2019-05-21,43.27,43.95,43.23,43.9,43.0290863294,311855.0,0.0,1.0,42.41158463492342
2019-05-22,43.55,43.92,43.199,43.23,42.3723781781,509459.0,0.0,1.0,42.68602983243708
2019-05-23,42.59,42.8,41.67,42.04,41.2059860886,511789.0,0.0,1.0,41.745074869492726
2019-05-24,42.45,42.545,41.919,42.14,41.3040022305,295706.0,0.0,1.0,41.60785227063894
2019-05-28,42.29,42.58,41.84,41.89,41.0589618756,273112.0,0.0,1.0,41.4510264435217
2019-05-29,41.57,41.812,41.18,41.52,40.6963021503,505186.0,0.0,1.0,40.74531022129025
2019-05-30,41.73,42.12,41.47,41.81,40.980548962,200440.0,0.0,1.0,40.902136048415684
2019-05-31,41.11,41.23,40.675,40.73,39.9219746286,340803.0,0.0,1.0,40.29443596812536
2019-06-03,40.73,40.99,39.88,40.14,39.3436793909,482794.0,0.0,1.0,39.921974628583875
2019-06-04,40.8399,41.84,40.52,41.8,40.9707473478,320447.0,0.0,1.0,40.02969436864635
2019-06-05,42.33,42.36,41.641,42.11,41.2745973879,551698.0,0.0,1.0,41.49023290025664
2019-06-06,42.32,42.37,41.82,42.13,41.2942006163,725569.0,0.0,1.0,41.48043128606257
2019-06-07,42.48,43.31,42.48,43.21,42.3527749497,236781.0,0.0,1.0,41.63725711324359
2019-06-10,43.54,44.312,43.54,43.62,42.7546411318,278924.0,0.0,1.0,42.676228218215776
2019-06-11,44.24,44.32,42.87,43.3,42.4409894775,281522.0,0.0,1.0,43.362341212115474
2019-06-12,43.26,43.449,42.8,43.15,42.2939652645,189000.0,0.0,1.0,42.40178302067834
2019-06-13,43.31,43.68,43.14,43.68,42.813450817,197613.0,0.0,1.0,42.450791091672855
2019-06-14,43.45,43.6,42.97,43.07,42.215552351,257863.0,0.0,1.0,42.58801369052589
2019-06-17,43.17,44.63,43.154,44.41,43.5289686535,208467.0,0.0,1.0,42.31356849294293
2019-06-18,44.98,45.54,44.85,45.11,44.2150816474,467760.0,0.0,1.0,44.08766066282536
2019-06-19,45.28,45.36,44.821,45.27,44.3719074745,191183.0,0.0,1.0,44.38170908869803
2019-06-20,45.89,46.0199,45.0301,45.33,44.4307171597,208740.0,0.0,1.0,44.97960755479006
2019-06-21,45.19,45.47,44.53,45.44,44.5385349159,282498.0,0.0,1.0,44.293494560948965
2019-06-24,45.56,45.65,44.76,44.79,43.901429993,227404.0,0.0,1.0,44.656154286248714
2019-06-25,44.84,45.1,44.3,44.46,43.5779767245,227676.0,0.0,1.0,43.95043806402564
2019-06-26,44.88,45.06,44.54,44.69,43.803413851,235512.0,0.0,1.0,43.989644520762596
2019-06-27,44.83,45.84,44.83,45.82,44.9109962554,277526.0,0.0,1.0,43.940636449794454
2019-06-28,45.94,48.05,45.82,47.98,47.0281449222,480824.0,0.0,1.0,45.02861562579967
2019-07-01,48.76,48.84,47.82,47.92,46.969335237,412141.0,0.0,1.0,47.79267082963523
2019-07-02,47.97,48.0,47.112,47.44,46.4988577555,228298.0,0.0,1.0,47.0183433079961
2019-07-03,48.05,48.06,47.636,48.06,47.1065578358,149172.0,0.0,1.0,47.09675622160195
2019-07-05,47.74,47.94,47.287,47.8,46.8517158666,147131.0,0.0,1.0,46.79290618141181
2019-07-08,47.58,47.597,47.1,47.35,46.4106432277,296312.0,0.0,1.0,46.63608035425482
2019-07-09,47.08,48.25,47.08,48.25,47.2927885055,235951.0,0.0,1.0,46.14599964433036
2019-07-10,48.58,48.95,48.316,48.58,47.6162417741,173799.0,0.0,1.0,47.6162417741
2019-07-11,48.64,48.84,48.161,48.61,47.6456466167,153733.0,0.0,1.0,47.67505145929414
2019-07-12,48.41,48.58,48.09,48.46,47.4986224037,196679.0,0.0,1.0,47.4496143327098
2019-07-15,48.6,48.7,48.18,48.67,47.7044563019,129312.0,0.0,1.0,47.63584500251366
2019-07-16,48.59,48.59,48.051,48.37,47.4104078759,114925.0,0.0,1.0,47.6260433882568
2019-07-17,48.38,48.91,48.18,48.6,47.6358450025,131689.0,0.0,1.0,47.420209490143
2019-07-18,48.4,48.83,48.35,48.83,47.861282129,132446.0,0.0,1.0,47.43981271848454
2019-07-19,48.99,49.04,48.28,48.29,47.3319949623,188285.0,0.0,1.0,48.0181079561623
2019-07-22,48.51,48.84,48.4,48.74,47.7730676012,201962.0,0.0,1.0,47.547630474645295
2019-07-23,48.96,48.96,48.49,48.9,47.9298934284,134493.0,0.0,1.0,47.98870311358822
2019-07-24,48.92,49.92,48.73,49.92,48.9296580766,263892.0,0.0,1.0,47.94949665679631
2019-07-25,49.1,49.1,48.217,48.26,47.3025901197,286344.0,0.0,1.0,48.12592571233465
2019-07-26,48.48,49.39,48.4,49.35,48.3709660673,154488.0,0.0,1.0,47.518225632071
2019-07-29,49.25,49.35,48.244,49.13,48.155330555,215807.0,0.0,1.0,48.272949925376544
2019-07-30,48.61,49.61,48.49,49.61,48.6258080365,239935.0,0.0,1.0,47.64564661669552
2019-07-31,49.21,49.49,47.81,48.46,47.4986224037,256356.0,0.0,1.0,48.23374346855297
2019-08-01,48.46,48.75,46.96,47.72,46.773302953,322208.0,0.0,1.0,47.49862240365424
2019-08-02,47.0,47.21,45.71,46.12,45.2050446814,354311.0,0.0,1.0,46.067586730828275
2019-08-05,44.97,45.07,43.57,44.16,43.2839282985,862354.0,0.0,1.0,44.077859048540425
2019-08-06,44.62,44.98,43.77,44.56,43.6759928665,471290.0,0.0,1.0,43.73480255168828
2019-08-07,44.21,45.14,44.0,45.13,44.2346848758,436904.0,0.0,1.0,43.33293636957939
2019-08-08,45.3,45.95,45.0,45.89,44.9796075548,394519.0,0.0,1.0,44.40131231711571
2019-08-09,45.78,45.92,44.87,45.27,44.3719074745,182565.0,0.0,1.0,44.871789798599735
2019-08-12,44.95,45.014,44.21,44.31,43.4309525115,297179.0,0.0,1.0,44.058255820174345
2019-08-13,44.23,45.45,44.0,45.23,44.3327010177,294341.0,0.0,1.0,43.35253959789678
2019-08-14,44.32,44.53,43.33,43.64,42.7742443602,366338.0,0.0,1.0,43.440754125666
2019-08-15,43.89,43.89,43.13,43.56,42.6958314467,344897.0,0.0,1.0,43.0192847152356
2019-08-16,44.07,44.76,44.07,44.69,43.803413851,270848.0,0.0,1.0,43.19571377072209
2019-08-19,45.45,45.585,45.1,45.55,44.6463526721,281150.0,0.0,1.0,44.54833653011954
2019-08-20,45.54,45.54,45.1,45.26,44.3621058603,177613.0,0.0,1.0,44.63655105784494
2019-08-21,45.67,45.876,45.332,45.66,44.7541704282,249176.0,0.0,1.0,44.76397204239803
2019-08-22,45.67,45.741,44.68,44.99,44.097462277,127481.0,0.0,1.0,44.76397204246699
2019-08-23,44.69,45.155,43.36,43.51,42.6468233757,243587.0,0.0,1.0,43.80341385106948
2019-08-26,44.06,44.06,43.34,43.79,42.9212685732,426405.0,0.0,1.0,43.185912156546976
2019-08-27,44.04,44.104,42.8,43.12,42.2645604219,227850.0,0.0,1.0,43.166308928118646
2019-08-28,42.94,43.54,42.65,43.38,42.5194023911,344339.0,0.0,1.0,42.088131366386214
2019-08-29,44.01,44.25,43.792,44.18,43.3035315269,203261.0,0.0,1.0,43.13690408553348
2019-08-30,44.65,44.84,43.928,44.32,43.4407541257,202104.0,0.0,1.0,43.76420739423522
2019-09-03,43.95,44.46,43.08,43.27,42.4115846349,308779.0,0.0,1.0,43.07809440036642
2019-09-04,43.72,43.78,43.115,43.34,42.4801959343,187507.0,0.0,1.0,42.85265727382547
2019-09-05,43.89,44.27,43.46,44.04,43.1663089282,207900.0,0.0,1.0,43.0192847152293
2019-09-06,44.08,44.327,43.78,43.94,43.0682927862,115453.0,0.0,1.0,43.20551538497259
2019-09-09,44.1,44.199,43.52,43.81,42.9408718016,201097.0,0.0,1.0,43.22511861334307
2019-09-10,43.53,44.47,43.328,44.35,43.4701589683,231170.0,0.0,1.0,42.66642660406085
2019-09-11,44.52,45.57,44.46,45.54,44.6365510579,393600.0,0.0,1.0,43.63678640969934
2019-09-12,45.71,45.89,45.267,45.5,44.5973446011,269390.0,0.0,1.0,44.80317849925892
2019-09-13,45.61,45.71,45.2,45.25,44.3523042461,254024.0,0.0,1.0,44.70516235722919
2019-09-16,44.81,45.49,44.8,45.4,44.4993284591,176589.0,0.0,1.0,43.92103322141566
2019-09-17,45.35,45.5,45.149,45.5,44.5973446011,194101.0,0.0,1.0,44.45032038812934
2019-09-18,45.5,45.56,44.47,45.04,44.146470348,176240.0,0.0,1.0,44.59734460111012
2019-09-19,45.11,45.47,44.774,44.85,43.9602396782,170928.0,0.0,1.0,44.21508164734898
2019-09-20,44.95,45.0,44.25,44.74,43.852421922,237342.0,0.0,1.0,44.05825582015869
2019-09-23,44.63,44.844,44.45,44.54,43.6563896381,141422.0,0.0,1.0,43.74460416588242
2019-09-24,44.75,44.9,42.64,43.04,42.1861475084,367963.0,0.0,1.0,43.862223536266264
2019-09-25,42.94,43.25,42.325,43.14,42.2841636503,268926.0,0.0,1.0,42.088131366339404
2019-09-26,43.21,43.282,42.55,43.07,42.215552351,154721.0,0.0,1.0,42.352774949772694
2019-09-27,43.16,43.55,42.28,42.64,41.7940829404,308954.0,0.0,1.0,42.30376687869756
2019-09-30,42.73,43.07,42.4,42.89,42.0391232954,284828.0,0.0,1.0,41.882297468231336
2019-10-01,43.14,43.35,41.86,41.9,41.0687634898,280762.0,0.0,1.0,42.28416365035733
2019-10-02,41.59,41.59,40.82,41.27,40.4512617953,699382.0,0.0,1.0,40.76491344963719
2019-10-03,41.06,41.614,40.12,41.53,40.7061037645,337721.0,0.0,1.0,40.24542789719167
2019-10-04,41.64,42.0,41.295,41.97,41.1373747892,231722.0,0.0,1.0,40.81392152066448
2019-10-07,41.8,42.39,41.686,42.03,41.1961844744,171117.0,0.0,1.0,40.97074734784487
2019-10-08,41.64,41.64,40.61,40.62,39.8141568724,287373.0,0.0,1.0,40.813921520599116
2019-10-09,41.06,41.38,40.831,41.19,40.3728488817,133149.0,0.0,1.0,40.245427897125566
2019-10-10,41.26,41.648,41.014,41.28,40.4610634095,245967.0,0.0,1.0,40.44146018110392
2019-10-11,41.94,42.52,41.9,41.93,41.0981683324,242586.0,0.0,1.0,41.10796994659804
2019-10-14,41.86,42.46,41.734,42.26,41.4216216009,164192.0,0.0,1.0,41.02955703297856
2019-10-15,42.5,43.29,42.44,43.15,42.2939652645,175620.0,0.0,1.0,41.65686034162805
2019-10-16,42.99,43.08,42.694,42.8,41.9509087676,188431.0,0.0,1.0,42.13713943736271
2019-10-17,42.88,43.09,42.77,42.881,42.0303018426,154162.0,0.0,1.0,42.02932168118019
2019-10-18,42.83,42.86,41.51,41.93,41.0981683324,161546.0,0.0,1.0,41.98031361022399
